codigo;nombre;ubicacion;;
72;3392;ARMARIO 4, PUERTA 4,  LADO A, CENTRO IZQUIERDO;;
73;3217;ARMARIO 4, PUERTA 4,  LADO A, CENTRO INFERIOR;;
74;VAS6262 A;ARMARIO 4, TECHO UN TUBO DE LLENADO;;
75;T40010 ;ARMARIO 4, PUERTA 4,  LADO A, INFERIOR DERECHO;;
76;3282 / 63;ARMARIO 4, PUERTA 4,  LADO A, SUPERIOR DERECHO;;
77;VAS6262 / 7;ARMARIO 4, PUERTA 4,  LADO A, INFERIOR DERECHO;;
78;3362;ARMARIO 4, PUERTA 4,  LADO A, INFERIOR IZQUIERDO;;
79;T10052;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
80;T40001;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
81;T10055;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
82;3180;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
83;VAG1687 / 13-1;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
84;T10079;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
85;VW207;ARMARIO 4, PUERTA 4, LADO B, SUPERIOR DERECHO;;
86;VW5010 B / 3;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
87;3420;ARMARIO 4, PUERTA 4, LADO B, SUPERIOR DERECHO;;
88;3094;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
89;VAS 6262 / 4;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
90;3083;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
92;T10177;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
93;T10175;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
94;12-551;ARMARIO 4, PUERTA 4,  LADO A, INFERIOR DERECHO;;
95;T10384;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
96;T10161;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
97;T10013;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
98;T10093;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
99;3411;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
100;T10162;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO  ;;
101;T40012;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
102;VW416 B;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR IZQUIERDO;;
103;VW422;ARMARIO 4, PUERTA 4,  LADO B, SUPERIOR DERECHO;;
